#  BAND   46          
#EF=   0.00000     NDOS= 5     NENRG=  592    Gaussian bradening: 0.00300
# ENERGY    2:DZ2          2:DXY          2:DX2Y2        2:DXZ+DYZ      2:DXZ+DYZ   
  -0.90940    0.85534906    2.18332529    0.37818232    2.79848957    2.79848909
  -0.88219    0.76871550    1.79596674    0.38226402    2.96623230    2.96623182
  -0.85498    0.66874373    1.47318983    0.38912544    3.10214472    3.10214472
  -0.82777    0.55183023    1.23741269    0.39854145    3.19715905    3.19715905
  -0.80056    0.42309028    1.07373846    0.40999955    3.24575305    3.24575305
  -0.77335    0.29664484    0.95602673    0.42303646    3.23362684    3.23362684
  -0.74614    0.18934098    0.86275065    0.43760750    3.12949657    3.12949657
  -0.71892    0.11198387    0.78053361    0.45395586    2.89401460    2.89401460
  -0.69171    0.06500246    0.70257455    0.47222966    2.50271630    2.50271630
  -0.66450    0.04110734    0.62660706    0.49236941    1.97573042    1.97573042
  -0.63729    0.03128285    0.55290598    0.51444978    1.39081228    1.39081228
  -0.61008    0.02864555    0.48122996    0.53904378    0.85690838    0.85690838
  -0.58287    0.02909258    0.40957576    0.56730711    0.45751619    0.45751619
  -0.55566    0.03043152    0.33547357    0.60077947    0.21288481    0.21288481
  -0.52844    0.03178373    0.25952491    0.64126229    0.09031519    0.09031519
  -0.50123    0.03334761    0.18700270    0.69072896    0.03978133    0.03978133
  -0.47402    0.03580816    0.12496993    0.75023437    0.02322222    0.02322222
  -0.44681    0.03961622    0.07779421    0.81728482    0.02007335    0.02007335
  -0.41960    0.04457742    0.04569461    0.88359523    0.02072655    0.02072655
  -0.39239    0.05007047    0.02597512    0.93670565    0.02204428    0.02204428
  -0.36518    0.05551733    0.01489801    0.96625900    0.02318184    0.02318184
  -0.33796    0.06060904    0.00900345    0.97027522    0.02406122    0.02406122
  -0.31075    0.06526249    0.00588863    0.95557845    0.02470503    0.02470503
  -0.28354    0.06948917    0.00396511    0.93232208    0.02513440    0.02513440
  -0.25633    0.07337386    0.00279398    0.90814430    0.02541761    0.02541761
  -0.22912    0.07698819    0.00200584    0.88612652    0.02561424    0.02561424
  -0.20191    0.08034243    0.00148685    0.86620462    0.02577719    0.02577719
  -0.17470    0.08340825    0.00115186    0.84735036    0.02594216    0.02594216
  -0.14748    0.08618779    0.00094010    0.82891208    0.02612540    0.02612540
  -0.12027    0.08876998    0.00080944    0.81099427    0.02632820    0.02632820
  -0.09306    0.09125684    0.00073110    0.79412031    0.02654229    0.02654229
  -0.06585    0.09363647    0.00068591    0.77834421    0.02675482    0.02675482
  -0.03864    0.09568981    0.00066162    0.76252049    0.02695459    0.02695459
  -0.01143    0.09704800    0.00065070    0.74451369    0.02713860    0.02713860
   0.01578    0.09741118    0.00064868    0.72238851    0.02731440    0.02731440
   0.04299    0.09678071    0.00065301    0.69592398    0.02749512    0.02749512
   0.07021    0.09550720    0.00066241    0.66705501    0.02769127    0.02769127
   0.09742    0.09407506    0.00067637    0.63854557    0.02790630    0.02790630
   0.12463    0.09282877    0.00069481    0.61222136    0.02813842    0.02813842
   0.15184    0.09187235    0.00071789    0.58844322    0.02838462    0.02838462
   0.17905    0.09116077    0.00074583    0.56694043    0.02864270    0.02864270
   0.20626    0.09062372    0.00077886    0.54767120    0.02891162    0.02891162
   0.23347    0.09021352    0.00081710    0.53087676    0.02919189    0.02919189
   0.26069    0.08989188    0.00086056    0.51658118    0.02948774    0.02948774
   0.28790    0.08962528    0.00090918    0.50438625    0.02981027    0.02981027
   0.31511    0.08939443    0.00096294    0.49367923    0.03017993    0.03017993
   0.34232    0.08919188    0.00102187    0.48390189    0.03062659    0.03062659
   0.36953    0.08901528    0.00108615    0.47474828    0.03118732    0.03118732
   0.39674    0.08886088    0.00115601    0.46620384    0.03190391    0.03190391
   0.42395    0.08872617    0.00123175    0.45849311    0.03282161    0.03282161
   0.45117    0.08861806    0.00131376    0.45203066    0.03398855    0.03398855
   0.47838    0.08855743    0.00140249    0.44722754    0.03544423    0.03544423
   0.50559    0.08857208    0.00149836    0.44430712    0.03718321    0.03718321
   0.53280    0.08866908    0.00160179    0.44285798    0.03908017    0.03908017
